title,url,source_page,scraped_at
Manuals & Guidelines,https://www.moh.gov.gh/manuals-guidelines/,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.185317
Ghana Primary Health Care Investment Program (P173168)Negotiated ENVIRONMENTAL and SOCIAL COMMITMENT PLAN (ESCP),https://www.moh.gov.gh/wp-content/uploads/2022/05/Environment-and-Social-Commitment-Plan_Negotiation_002.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.185548
"AF3 ESCP Negotiated -April 25, 2022",https://www.moh.gov.gh/wp-content/uploads/2022/04/AF3-ESCP-Negotiated-April-25-2022.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.185700
Ghana Primary Health Care Investment Program (P173168) Draft ENVIRONMENTAL and SOCIAL COMMITMENT PLAN (ESCP) FOR THE IPF COMPONENT,https://www.moh.gov.gh/wp-content/uploads/2022/04/Final-escp-ghana-primary-health-care-investment-program-p173168.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.185814
Final SEP for the IPF component of the Ghana health PforR program 032022.pdf,https://www.moh.gov.gh/wp-content/uploads/2022/04/Final-SEP-for-the-IPF-component-of-the-ghana-health-PforR-program-032022.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.185925
GHANA COVID-19 EMERGENCY RESPONSE ON VACCINES THIRD ADDITIONAL FINANCING (P178054)STAKEHOLDER ENGAGEMENT PLAN,https://www.moh.gov.gh/wp-content/uploads/2022/03/Additional-Financing-Stakeholder-Engagement-Plan-SEP-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186045
GHANA COVID-19 EMERGENCY PREPAREDNESS AND RESPONSE PROJECT THIRD ADDITIONAL FINANCING (P178054) DRAFT ENVIRONMENTAL AND SOCIAL COMMITMENT PLAN (ESCP),https://www.moh.gov.gh/wp-content/uploads/2022/03/Additional-Financing-Environmental-and-Social-Commitment-Plan-ESCP-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186179
Ghana COVID-19 Emergency Response on vaccines 2nd Additional Financing (P176485),https://www.moh.gov.gh/wp-content/uploads/2021/06/COVID-19-Project-Second-Additional-Financing_ESMF_June-2021-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186328
Environmental and Social Management Framework (ESMF),https://www.moh.gov.gh/wp-content/uploads/2021/06/COVID-19-Project-Second-Additional-Financing_ESMF_June-2021-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186440
GHANA COVID-19 EMERGENCY RESPONSE ON VACCINES SECOND ADDITIONAL FINANCING (P176485) STAKEHOLDER ENGAGEMENT PLAN,https://www.moh.gov.gh/wp-content/uploads/2021/05/Stakeholder-Engagement-Plan_Additional-Financing.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186555
GHANA COVID-19 EMERGENCY RESPONSE ON VACCINES SECOND ADDITIONAL FINANCING (P176485) ENVIRONMENTAL and SOCIAL COMMITMENT PLAN (ESCP),https://www.moh.gov.gh/wp-content/uploads/2021/05/Additional-Financing-Environmental-and-Social-Commitment-Plan-ESCP-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186671
Ghana COVID-19 Emergency Preparedness and Response Project & Additional Financing,https://www.moh.gov.gh/wp-content/uploads/2016/02/FINAL-COVID-19-ESMF.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186786
Additional Financing Stakeholder Engagement Plan (SEP),https://www.moh.gov.gh/wp-content/uploads/2020/10/Additional-Financing-Stakeholder-Engagement-Plan-SEP.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.186901
Additional Financing Environmental and Social Commitment Plan (ESCP),https://www.moh.gov.gh/wp-content/uploads/2020/10/Additional-Financing-Environmental-and-Social-Commitment-Plan-ESCP.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.187015
COVID-19 STANDARD TREATMENT GUIDELINES 2020,https://www.moh.gov.gh/wp-content/uploads/2016/02/COVID-19-STG-JUNE-2020-1.pdf,https://www.moh.gov.gh/covid-19-response-documents/,2025-07-09T14:26:42.187134
"Policy, Planning, Monitoring & Evaluation",https://www.moh.gov.gh/policy-planning-monitoring-evaluation/,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.930847
COVID-19 Response Documents,https://www.moh.gov.gh/covid-19-response-documents/,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931064
Policy Documents,https://www.moh.gov.gh/policy-documents/,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931194
Policy Briefs,https://www.moh.gov.gh/policy-briefs/,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931342
Manuals & Guidelines,https://www.moh.gov.gh/manuals-guidelines/,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931456
National Health Sector Gender Action Plan,http://www.moh.gov.gh/wp-content/uploads/2025/07/HEALTH_SECTOR-ACTION-PLAN.16.10.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931710
National Health Sector Gender Policy,http://www.moh.gov.gh/wp-content/uploads/2025/07/NATIONAL-HEALTH-SECTOR-GENDER-POLICY_16_11_2024.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931826
Reproductive Health Financing in Ghana (2018-2022),http://www.moh.gov.gh/wp-content/uploads/2025/05/Final_2018-2022_Ghana_Reproductive_Health_Financing_Policy-Brief.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.931941
Healthcare Financing in Ghana (2018-2022),http://www.moh.gov.gh/wp-content/uploads/2025/05/Final_2018-2022_Ghana_Health_FInancing_Policy_Brief.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932061
National Health Accounts (2018-2022),http://www.moh.gov.gh/wp-content/uploads/2025/05/Final-2018-2022-Ghana-National_Health_Accounts_Report.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932178
National Health Quality Strategy (2024 – 2030),http://www.moh.gov.gh/wp-content/uploads/2025/05/National-Health-Quality-Strategy-2024-2030.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932304
GHANA HEALTH SUPPLY CHAIN MASTER PLAN (2025-2029),http://www.moh.gov.gh/wp-content/uploads/2025/02/Ghana_HSCMP_2025-2029_Final-Print-Version_17January2025.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932445
COMMON MANAGEMENT ARRANGEMENTS FOR IMPLEMENTATION OF THE HEALTH SECTOR MEDIUM TERM DEVELOPMENT PLAN (2022-2025),http://www.moh.gov.gh/wp-content/uploads/2025/01/CMA-2022-2025_FINAL.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932565
"National Surgical, Obstetric & Anaesthesia Plan for Ghana",http://www.moh.gov.gh/wp-content/uploads/2024/10/FINAL-NSOAP-for-press-2.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932680
Nursing and Midwifery Strategic Plan and Services Framework 2024-2028,http://www.moh.gov.gh/wp-content/uploads/2024/08/Nursing-and-Midwifery-Strategic-Plan-and-Services-Framework-2024-2028.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932788
Ghana Health Financing Strategy 2023 – 2030,http://www.moh.gov.gh/wp-content/uploads/2024/06/GHANA-HFS-REVISION.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.932897
Health Information System Strategic Plan 2022-2025,https://www.moh.gov.gh/wp-content/uploads/2024/03/HISSP_2022-2025_FINALVERSION-1.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933016
National Medical Oxygen Policy,https://www.moh.gov.gh/wp-content/uploads/2023/10/National-Medical-Oxygen-Policy.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933131
Strategic Action Plan for the National Medical Oxygen Policy,https://www.moh.gov.gh/wp-content/uploads/2023/10/Strategic-Action-Plam_National-Medical-Oxygen-Policy.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933251
Ghana NCD Policy 2022,https://www.moh.gov.gh/wp-content/uploads/2022/05/Ghana-NCD-Policy-2022.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933377
National Food Safety Policy,https://www.moh.gov.gh/wp-content/uploads/2022/07/NFSP-Document-signed-and-launched.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933491
Health Commodity Supply Chain Master Plan (2021-2025),https://www.moh.gov.gh/wp-content/uploads/2022/06/Ghana-Final-Final.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933612
Ministry Of Health Client Service Charter,http://www.moh.gov.gh/wp-content/uploads/2025/03/CLIENT-SERVICE-MOH-INSD.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933722
National Guidelines for Healthcare Management in Ghana,https://www.moh.gov.gh/wp-content/uploads/2021/04/NATIONAL-GUIDELINES-FOR-HEALTH-Final.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933837
Health care waste management Policy for Ghana,https://www.moh.gov.gh/wp-content/uploads/2021/04/HEALTH-CARE-WASTE-MANAGEMENT-POLICY-Final.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.933951
National Health Policy (Revised Edition) 2020,https://www.moh.gov.gh/wp-content/uploads/2021/08/NHP_January-2020.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934063
"National Medicines Policy (3rd edition, 2017",https://www.moh.gov.gh/wp-content/uploads/2020/07/NMP-book-file-1.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934176
Policy on Antimicrobial Used and Resistance,http://www.moh.gov.gh/wp-content/uploads/2018/04/AMR-POLICY-A5_09.03.2018-Signed.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934283
Ghana National Action Plan on Antimicrobial Resistance (2017-2021),http://www.moh.gov.gh/wp-content/uploads/2018/04/NAP_FINAL_PDF_A4_19.03.2018-SIGNED-1.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934394
ANTI-MALARIA DRUG POLICY,http://www.moh.gov.gh/wp-content/uploads/2016/02/ANTI-MALARIA-DRUG-POLICY.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934511
National CHPS Policy,http://www.ghanahealthservice.org/downloads/MOH_CHPS_Policy_Final.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934620
Ghana National Drug Policy – 2nd Edition,http://www.moh.gov.gh/wp-content/uploads/2016/02/Ghana-National-Drug-Policy-2nd-edition.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934725
Ghana E-Health,http://www.moh.gov.gh/wp-content/uploads/2016/02/Ghana-E-Health-120504121543.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934834
Guidelines for Strengthening A&E Services in Hospitals,http://www.moh.gov.gh/wp-content/uploads/2016/02/Guidelines-for-Strengthening-AE-Services-in-Hospitals.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.934949
Health Care Waste Management Policy and Guidelines,http://www.moh.gov.gh/wp-content/uploads/2016/02/Health-Care-Waste-Management-Policy-and-Guidelines.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935055
Health Sector Gender Policy,http://www.moh.gov.gh/wp-content/uploads/2016/02/Health-Sector-Gender-Policy.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935162
Health Sector ICT Policy and Strategy,http://www.moh.gov.gh/wp-content/uploads/2016/02/Health-Sector-ICT-Policy-and-Strategy.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935267
Human Resource Health Policy & Plan,http://www.moh.gov.gh/wp-content/uploads/2016/02/Human-Resource-Health-Policy-Plan.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935377
National Health Insurance Policy Framework,http://www.moh.gov.gh/wp-content/uploads/2016/02/National-Health-Insurance-Policy-framework.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935494
NATIONAL HEALTH POLICY,http://www.moh.gov.gh/wp-content/uploads/2016/02/NATIONAL-HEALTH-POLICY.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935600
Occupational Health & Safety Policy & Guidelines for Health Sector,http://www.moh.gov.gh/wp-content/uploads/2016/02/Occupational-Health-Safety-Policy-Guidelines-for-Health-Sector.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935705
Policy and Legal Framework for HMIS,http://www.moh.gov.gh/wp-content/uploads/2016/02/Policy-and-Legal-Framework-for-HMIS.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935813
Private Health Sector Development Policy,http://www.moh.gov.gh/wp-content/uploads/2016/02/Private-Health-Sector-Development-Policy.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.935918
TRADITIONAL MEDICINE POLICY,http://www.moh.gov.gh/wp-content/uploads/2016/02/TRADITIONAL-MEDICINE-POLICY.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.936024
Referral Policy & Guidelines,http://www.moh.gov.gh/wp-content/uploads/2016/03/Referral-Policy-Guidelines.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.936129
CHPS Operational Policy,http://www.moh.gov.gh/wp-content/uploads/2016/02/CHPS-Operational-Policy-2005.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.936234
2016 MAF strategy and operational plan- 24 April 2016 for MAF SC-2nd Draft 26042016,http://www.moh.gov.gh/wp-content/uploads/2016/02/2016-MAF-strategy-and-operational-plan-24-April-2016-for-MAF-SC-2nd-Draft-26042016.pdf,https://www.moh.gov.gh/policy-documents/,2025-07-09T14:26:42.936340
"Policy, Planning, Monitoring & Evaluation",https://www.moh.gov.gh/policy-planning-monitoring-evaluation/,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.636116
COVID-19 Response Documents,https://www.moh.gov.gh/covid-19-response-documents/,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.636341
Policy Documents,https://www.moh.gov.gh/policy-documents/,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.649493
Policy Briefs,https://www.moh.gov.gh/policy-briefs/,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.649720
Manuals & Guidelines,https://www.moh.gov.gh/manuals-guidelines/,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.649866
Ambulance,http://www.moh.gov.gh/wp-content/uploads/2016/02/Ambulance.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650181
Guinea worm Brochure,http://www.moh.gov.gh/wp-content/uploads/2016/02/Guinea-worm-Brochure.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650305
HIRD,http://www.moh.gov.gh/wp-content/uploads/2016/02/HIRD.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650421
Malaria 1,http://www.moh.gov.gh/wp-content/uploads/2016/02/Malaria-1.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650549
Malaria Front,http://www.moh.gov.gh/wp-content/uploads/2016/02/Malaria-Front.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650684
MOH HEALTH RELATED MILLENIUM DEVELOPMENT GOALS,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-HEALTH-RELATED-MILLENIUM-DEVELOPMENT-GOALS.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650811
MOH HEALTH RELATED MILLENIUM DEVELOPMENT GOALS 1,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-HEALTH-RELATED-MILLENIUM-DEVELOPMENT-GOALS-1.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.650937
MOH MDB Front,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MDB-front.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651054
MOH MDB Inside,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MDB-inside.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651157
MOH MDG Front,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MDG-front.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651259
MOH MULTI-DONOR BUDGETARY SUPPORT 1,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MULTI-DONOR-BUDGETARY-SUPPORT-1.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651362
MOH MULTI-DONOR BUDGETARY SUPPORT,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MULTI-DONOR-BUDGETARY-SUPPORT.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651467
MOH MDG Inside,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-MDG-inside.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651583
Policy Brief on CHPS2,http://www.moh.gov.gh/wp-content/uploads/2016/02/policy-brief-on-CHPS2.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651684
Regenerative Health,http://www.moh.gov.gh/wp-content/uploads/2016/02/Regenerative-Health.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651786
TABs,http://www.moh.gov.gh/wp-content/uploads/2016/02/TABs.pdf,https://www.moh.gov.gh/policy-briefs/,2025-07-09T14:26:43.651888
"Policy, Planning, Monitoring & Evaluation",https://www.moh.gov.gh/policy-planning-monitoring-evaluation/,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.402398
COVID-19 Response Documents,https://www.moh.gov.gh/covid-19-response-documents/,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.402661
Policy Documents,https://www.moh.gov.gh/policy-documents/,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.402791
Policy Briefs,https://www.moh.gov.gh/policy-briefs/,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.402939
Manuals & Guidelines,https://www.moh.gov.gh/manuals-guidelines/,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403054
Right to Information Manual (2024) – Ministry of Health,http://www.moh.gov.gh/wp-content/uploads/2025/02/RIGHT-TO-INFORMATION-MANUAL-MINISTRY-OF-HEALTH.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403305
NITAG Ghana Internal Procedures Manual,http://www.moh.gov.gh/wp-content/uploads/2024/10/NITAG-Ghana_IP-Manual_Final_09Oct24_Shared-with-Minister.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403445
Financial Report for the year ended December 31st 2023,https://www.moh.gov.gh/wp-content/uploads/2024/04/MoH-2023FS.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403558
SOP for Procurement Complaints Mechanisms,https://www.moh.gov.gh/wp-content/uploads/2024/04/COMPLAINTS-MECHANISMS.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403709
Final Report: Managing Paeditric Burkitt Lymphoma in Ghana: A Health Technology Assessment,https://www.moh.gov.gh/wp-content/uploads/2022/04/Final-Report-HTA-Burkitts-Lymphoma.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403845
Project Brief – MOH EDCTP SAVING Project – WorkPackage 3,https://www.moh.gov.gh/wp-content/uploads/2021/09/Project-Brief-MOH-EDCTP-SAVING-Project-WorkPackage-3.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.403972
Ghana COVID-19 Emergency Preparedness and Response Project & Additional Financing,https://www.moh.gov.gh/wp-content/uploads/2016/02/FINAL-COVID-19-ESMF.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404099
National Guidelines for Laboratory Testing & Reporting on Respiratory Infectious Diseases in Health Facilities in Ghana,https://www.moh.gov.gh/wp-content/uploads/2020/07/National-Guidelines-for-Lab-Testing-and-Reporting-on-Resp-Infectious-Diseases-Ghana.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404234
Ghana Essential Medicine List 2017,https://www.moh.gov.gh/wp-content/uploads/2020/07/GHANA-EML-2017.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404372
Ghana Standard Guidelines 2017,https://www.moh.gov.gh/wp-content/uploads/2020/07/GHANA-STG-2017-1.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404505
Essential Medicine List 2010,http://www.moh.gov.gh/wp-content/uploads/2016/02/Essential-Medicine-List-2010.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404632
GHS Quality Assurance Strategic Plan FINAL,http://www.moh.gov.gh/wp-content/uploads/2016/02/GHS-Quality-Assurance-Strategic-Plan-FINAL.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404748
GHS Reproductive Health Strategic Plan FINAL,http://www.moh.gov.gh/wp-content/uploads/2016/02/GHS-Reproductive-Health-Strategic-Plan-FINAL.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404859
GHS TB HIV Clinical Mgmt Guidelines,http://www.moh.gov.gh/wp-content/uploads/2016/02/GHS-TB-HIV-Clinical-Mgmt-Guidelines.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.404967
Guidelines for Integrated Disease Surveillance and Response,http://www.moh.gov.gh/wp-content/uploads/2016/02/Guidelines-for-Integrated-Disease-Surveillance-and-Response.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405074
Guidelines for Strengthening A&E Services in Hospitals Corrected Version,http://www.moh.gov.gh/wp-content/uploads/2016/02/Guidelines-for-Strengthening-AE-Services-in-Hospitals-Corrected-Version.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405181
GUIDELINES ON HOUSEMANSHIP TRAINING 2015,http://www.moh.gov.gh/wp-content/uploads/2016/02/GUIDELINES-ON-HOUSEMANSHIP-TRAINING-2015.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405287
Healthcare Quality Assurance Subdistrict,http://www.moh.gov.gh/wp-content/uploads/2016/02/Healthcare-Quality-Assurance-Subdistrict.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405394
Integrated Disease Surveillance and Response Ghana Guidelines,http://www.moh.gov.gh/wp-content/uploads/2016/02/Integrated-Disease-Surveillance-and-Response-Ghana-Guidelines.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405504
Management of Envrnmntl Hlth in DecentrGov Vol I Guide,http://www.moh.gov.gh/wp-content/uploads/2016/02/Management-of-Envrnmntl-Hlth-in-DecentrGov-Vol-I-Guide.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405622
MOH GHS PROCUREMENT STRUCTURE,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-GHS-PROCUREMENT-STRUCTUERE.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405741
MOH PROCUREMENT PROCEDURE MANUAL,http://www.moh.gov.gh/wp-content/uploads/2016/02/MOH-PROCUREMENT-PROCEDURE-MANUAL.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405848
Operational Guide for District Assemly Nomination and Sponsorship into CHNTS,http://www.moh.gov.gh/wp-content/uploads/2016/02/Operational-Guide-for-District-Assemly-Nomination-and-Sponsorship-into-CHNTS.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.405959
Standard Hospital,http://www.moh.gov.gh/wp-content/uploads/2016/02/Standard-Hospital.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.406068
Standard Treatment Guideline 2010,http://www.moh.gov.gh/wp-content/uploads/2016/02/Standard-Treatment-Guideline-2010.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.406174
Technical Guidelines Disease Surveillance Ghana,http://www.moh.gov.gh/wp-content/uploads/2016/02/Technical-Guidelines-Disease-Surveillance-Ghana.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.406280
Training Manual for Preventive Malaria,http://www.moh.gov.gh/wp-content/uploads/2016/02/Training-Manual-for-Preventive-Malaria.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.406385
Transport Operational Guidelines 131206,http://www.moh.gov.gh/wp-content/uploads/2016/02/Transport-Operational-Guidelines-131206.pdf,https://www.moh.gov.gh/manuals-guidelines/,2025-07-09T14:26:44.406491
